                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     83,                 2.0913,                  1.201,                 1.1447,                 0.6558,                0.41242,                0.39313,                0.13651,                 2.3156,                 1.2456,                 1.2901,              0.0016792,              0.0016792,              0.0016792
                     84,                 2.1189,                 1.2002,                 1.1303,                0.69512,                0.40968,                0.42636,                0.14792,                 2.3192,                 1.2012,                 1.2853,              0.0016753,              0.0016753,              0.0016753
                     85,                 2.0596,                 1.1629,                 1.1288,                0.70235,                0.41275,                0.43563,                0.15229,                 2.3002,                 1.1526,                 1.2787,              0.0016713,              0.0016713,              0.0016713
                     86,                 2.0702,                 1.1708,                  1.132,                0.63626,                0.41798,                0.38456,                0.13403,                 2.3037,                 1.3491,                 1.2868,              0.0016674,              0.0016674,              0.0016674
                     87,                 2.0743,                  1.161,                 1.1253,                0.66173,                0.42047,                0.40927,                0.14089,                 2.3438,                 1.2193,                 1.2962,              0.0016634,              0.0016634,              0.0016634
                     88,                 2.0747,                 1.1649,                 1.1368,                 0.6832,                0.41197,                0.42352,                0.14984,                 2.3046,                 1.1824,                 1.3025,              0.0016594,              0.0016594,              0.0016594
                     89,                 2.0361,                 1.1253,                 1.1275,                0.66198,                0.41124,                0.41402,                 0.1443,                 2.3286,                 1.1953,                 1.3017,              0.0016555,              0.0016555,              0.0016555
                     90,                 2.0363,                 1.1348,                 1.1217,                0.67254,                0.40473,                0.40974,                0.14328,                 2.3354,                 1.1715,                 1.3051,              0.0016515,              0.0016515,              0.0016515
                     91,                 2.0536,                 1.1327,                 1.1224,                0.68217,                0.41308,                0.43534,                0.15315,                 2.3284,                  1.171,                 1.2944,              0.0016476,              0.0016476,              0.0016476
                     92,                 2.0381,                 1.1382,                 1.1227,                0.68516,                0.41959,                 0.4315,                0.15414,                 2.2832,                 1.1632,                 1.2861,              0.0016436,              0.0016436,              0.0016436
                     93,                 2.0617,                 1.1572,                  1.131,                0.69973,                0.41273,                0.42693,                0.14863,                 2.3356,                 1.1526,                 1.2938,              0.0016396,              0.0016396,              0.0016396
                     94,                 2.0419,                 1.1558,                 1.1099,                0.67035,                0.40739,                0.40466,                0.13899,                 2.3506,                 1.2035,                 1.2975,              0.0016357,              0.0016357,              0.0016357
                     95,                 2.0247,                 1.1199,                 1.1202,                0.66527,                0.40663,                0.43084,                0.15188,                 2.3314,                 1.1877,                 1.2964,              0.0016317,              0.0016317,              0.0016317
                     96,                 2.0152,                 1.1106,                 1.1146,                0.66155,                0.42454,                0.43927,                0.15698,                 2.3121,                 1.1499,                 1.2905,              0.0016278,              0.0016278,              0.0016278
                     97,                 1.9848,                 1.0955,                 1.0985,                 0.6909,                0.42797,                0.44665,                0.15685,                 2.3129,                 1.1614,                  1.317,              0.0016238,              0.0016238,              0.0016238
                     98,                 2.0278,                 1.1171,                 1.1084,                0.69787,                0.41578,                0.43557,                 0.1546,                 2.3227,                 1.1522,                 1.3074,              0.0016198,              0.0016198,              0.0016198
                     99,                 2.0011,                 1.0948,                 1.0803,                0.68533,                0.42607,                0.44942,                0.15871,                 2.3104,                 1.1573,                 1.3017,              0.0016159,              0.0016159,              0.0016159
                    100,                 2.0143,                 1.1184,                  1.123,                0.67934,                0.41822,                0.43459,                0.15275,                 2.3361,                 1.1482,                 1.2984,              0.0016119,              0.0016119,              0.0016119
                    101,                 2.0074,                 1.0944,                 1.1056,                0.67846,                0.41895,                0.42191,                0.15195,                 2.3296,                 1.1358,                 1.3086,               0.001608,               0.001608,               0.001608
                    102,                      2,                 1.0855,                  1.107,                0.70016,                0.41914,                0.44158,                0.15282,                 2.3514,                 1.1514,                 1.3169,               0.001604,               0.001604,               0.001604
                    103,                 1.9686,                 1.0692,                 1.0849,                0.69584,                0.42378,                0.44325,                0.15552,                 2.3463,                 1.1381,                 1.3096,                 0.0016,                 0.0016,                 0.0016
